UTC,timestamp,Text,Favorites,Retweets,neg,neu,pos,compound
2021-02-20 07:02:06+00:00,1613804520,"@PeterSchiff That said, BTC &amp; ETH do seem high lol",19278,2008,0.0,0.763,0.237,0.4215
2020-11-16 22:02:51+00:00,1605564120,@Maisie_Williams 🎶 Toss a bitcoin to ur Witcher 🎶,65905,3291,0.0,1.0,0.0,0.0
2021-02-08 05:27:36+00:00,1612762020,"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.  Transaction speed of Doge should ideally be a few orders of magnitude faster.",15504,3567,0.132,0.787,0.081,-0.3291
2021-04-26 23:15:01+00:00,1619478900,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",99315,13345,0.0,1.0,0.0,0.0
2021-03-12 18:58:22+00:00,1615575480,BTC (Bitcoin) is an anagram of TBC(The Boring Company) What a coincidence!,244538,17664,0.191,0.809,0.0,-0.3802
2021-05-12 22:06:14+00:00,1620857160,Tesla &amp; Bitcoin https://t.co/YSswJmVZhP,495952,77611,0.0,1.0,0.0,0.0
